instance,used_two_opt,best_distance
c202C16.txt,True,1.8446744073709552e+19
c202C16.txt,False,1.8446744073709552e+19
lc102.txt,True,576.7865387646184
lc102.txt,False,568.5693783047103
lc108.txt,True,588.5136388948772
lc108.txt,False,612.3640368319574
lc207.txt,True,914.07727379639
lc207.txt,False,931.7794875709085
lr112.txt,True,1.8446744073709552e+19
lr112.txt,False,1.8446744073709552e+19
lr205.txt,True,1312.0884301123706
lr205.txt,False,1258.763517751318
lrc104.txt,True,1183.3730361649336
lrc104.txt,False,1237.7866991026654
lrc206.txt,True,1489.5497781741576
lrc206.txt,False,1489.5497781741576
r102C18.txt,True,250.43184459956817
r102C18.txt,False,249.0176310371951
rc204C16.txt,True,3.6893488147419103e+19
rc204C16.txt,False,3.6893488147419103e+19
